city	latitude	value	AMT
D1	29.8406439	0.000365751	17.24166679
D2	30.10013803	0.00054611	16.80833244
D3	30.66626595	0	16.16250038
D4	31.42210804	0.0000197	15.83333302
D5	32.39829839	0	15.17500019
D6	33.55394881	0.006769706	14.27916622
D7	34.348874	0.0000963	13.7458334
D9	36.28403155	0.001406328	12.8083334
D10	36.66673219	0.001083494	12.45416641
D11	37.02491341	0.000935578	11.97916698
D12	36.80701097	0.002366482	12.38749981
D13	36.80869944	0.001930294	13.46249962
D14	36.84505008	0.000401541	13.28333282
D15	36.34171807	0.001163302	13.35416698
D16	35.30786119	0.000277748	14.02083397
D18	32.69869486	0	15.47500038
D19	31.84908017	0.003101883	15.76249981
D20	30.69222066	0	16.53333282
D21	29.80266393	0	17.44166565
D22	28.96907974	0	17.54166603
D23	28.87995353	0	17.76666641
D24	28.96676136	0.000369283	17.54166603
D25	29.33896512	0.002925661	16.58749962
D26	30.34183215	0.0000302	16.85416603
D27	30.55968177	0	16.52083397
D28	30.50280863	0	13.70416641
D29	30.18037515	0	11.28333282
D30	29.64726283	0.000141887	17.34583282
D31	28.49442634	0	15.6916666
D32	27.36829882	0	15.875
D33	26.17173828	0.0000177	15.74166679
D34	24.90327804	0	17.28333282
D35	23.78264415	0	22.58749962
D36	22.92793419	0	22.22083282
D37	21.81784768	0	21.92499924
D38	21.5743998	0	22.90833282
D39	21.82044321	0	23
D40	21.87911837	0	22.53750038
D41	22.87461962	0.000563374	22.24583435
D42	22.97574987	0.0000557	22.36666679
D43	23.61175416	0	21.55416679
D44	24.32414411	0.0000735	20.84583282
D45	25.30146728	0	20.05416679
D46	26.44269099	0	17.99166679
D47	27.27590281	0.001193607	18.02083397
D48	28.33989636	0	17.24583244
D55	37.73692257	0.0000237	13.09583378
D56	38.83178701	0.000719523	12.9958334
D57	39.48840554	0	10.84166718
D59	41.51683825	0.000461982	8.60833359
D60	41.69568385	0.000153635	6.10833359
D63	44.09007201	0	4.23749971
D64	45.17651026	0	3.25
D65	46.40979604	0	2.84166646
D67	47.80058943	0	1.0041666
D68	48.46046007	0.000439402	1.01666665
D72	40.8645235	0	3.5041666
D73	40.69938134	0.000252111	6.13749981
D75	38.03078569	0.0000654	9.11250019
D81	30.73239273	0.000707941	17.34166718
D82	24.98162346	0.001107166	20.09583282
D83	26.02069136	0.00017351	18.97083282
D84	27.61540601	0	17.99166679
