city	latitude	longitude	value
D1	29.8406439	121.5802002	0.000365751
D2	30.10013803	120.6428433	0.00054611
D3	30.66626595	120.0531006	0
D4	31.42210804	119.8199415	0.0000197
D5	32.39829839	119.9922037	0
D6	33.55394881	120.2119303	0.006769706
D7	34.348874	119.436279	0.0000963
D9	36.28403155	119.952035	0.001406328
D10	36.66673219	120.954237	0.001083494
D11	37.02491341	121.8893799	0.000935578
D12	36.80701097	120.0027382	0.002366482
D13	36.80869944	118.5201667	0.001930294
D14	36.84505008	117.0581391	0.000401541
D15	36.34171807	115.8254176	0.001163302
D16	35.30786119	115.6366612	0.000277748
D18	32.69869486	115.9720839	0
D19	31.84908017	116.4432939	0.003101883
D20	30.69222066	116.7348436	0
D21	29.80266393	115.9776418	0
D22	28.96907974	115.8091944	0
D23	28.87995353	117.6027286	0
D24	28.96676136	118.745188	0.000369283
D25	29.33896512	120.3459665	0.002925661
D26	30.34183215	113.527516	0.0000302
D27	30.55968177	111.5278917	0
D28	30.50280863	109.8460691	0
D29	30.18037515	108.5491264	0
D30	29.64726283	107.3189179	0.000141887
D31	28.49442634	107.4508088	0
D32	27.36829882	106.9667934	0
D33	26.17173828	106.680907	0.0000177
D34	24.90327804	106.6367867	0
D35	23.78264415	106.7248335	0
D36	22.92793419	107.9939826	0
D37	21.81784768	108.9222708	0
D38	21.5743998	110.3929485	0
D39	21.82044321	111.6453002	0
D40	21.87911837	112.6807867	0
D41	22.87461962	113.8015023	0.000563374
D42	22.97574987	115.6466647	0.0000557
D43	23.61175416	116.7343109	0
D44	24.32414411	117.8550646	0.0000735
D45	25.30146728	118.9865696	0
D46	26.44269099	119.4920836	0
D47	27.27590281	120.4747916	0.001193607
D48	28.33989636	121.4801109	0
D55	37.73692257	117.1095296	0.0000237
D56	38.83178701	117.6037281	0.000719523
D57	39.48840554	119.045819	0
D59	41.51683825	122.6758072	0.000461982
D60	41.69568385	124.7940515	0.000153635
D63	44.09007201	129.1184349	0
D64	45.17651026	130.2722682	0
D65	46.40979604	130.4155831	0
D67	47.80058943	127.8655798	0
D68	48.46046007	126.2836042	0.000439402
D72	40.8645235	112.690984	0
D73	40.69938134	111.0058594	0.000252111
D75	38.03078569	109.1821289	0.0000654
D81	30.73239273	107.1826172	0.000707941
D82	24.98162346	113.9115715	0.001107166
D83	26.02069136	115.1809216	0.00017351
D84	27.61540601	115.7519531	0
